Brand;Description;Final_price;Original_price;Discount;Regular_price;Regular_price_measure;Regular_price_un;timestamp
OPERA;Galletitas ópera Agrupadas 220 Gr;792.0;;;3600.0;1;kg;2023-12-26 16:47:31.842
Molinos Ala;Arroz Molinos Ala Parboil Gs X1kg;1746.0;;;1746.0;1;kg;2023-12-26 16:47:31.842
PUREZA;Aceite Girasol Pureza 1,5l;2209.0;;;1472.67;1;lt;2023-12-26 16:47:31.842
CHOCOLINAS;Galletitas Chocolinas X262g;770.0;;;2961.54;1;kg;2023-12-26 16:47:31.842
NESCAFE;Nescafé® Dolca Suave X 200gr;2199.09;;Llevando 2: $1.319,45 c/u;10995.45;1;kg;2023-12-26 16:47:31.842
NESTLE;Nestlé® Leche Condensada Descremada X 395gr;1216.67;;;3379.64;1;kg;2023-12-26 16:47:31.842
PLAYADITO;Yerba Mate Playadito Suave X500gr;1587.94;;;3175.88;1;kg;2023-12-26 16:47:31.842
HELLMANN´S;Mayonesa Hellmann's Clasica Doypack 950 G;1255.0;;;1321.05;1;kg;2023-12-26 16:47:31.842
SURTIDO;Galletitas Surtido Bagley X398g;1050.0;;;2692.31;1;kg;2023-12-26 16:47:31.842
NUCETE;Aceite De Oliva Nucete Extra Virgen X2000ml;23686.88;;;11843.44;1;lt;2023-12-26 16:47:31.842
VANGUARDIA;Arroz Vanguardia Elaborado Largo Fino;1255.5;;;1255.5;1;kg;2023-12-26 16:47:31.842
NESQUIK;Nesquik® Original Polvo Chocolatado X 360gr;1829.67;;Llevando 2: $1.097,8 c/u;5082.42;1;kg;2023-12-26 16:47:31.842
LA MERCED;Yerba Mate La Merced Campo Sur O.c 500g;1982.3;;;3964.6;1;kg;2023-12-26 16:47:31.842
LAY´S;Papas Fritas Lays Clasicas X230g;3138.0;;;13643.48;1;kg;2023-12-26 16:47:31.842
DORITOS;Doritos Queso 140g- X129g;1770.28;;;13617.54;1;kg;2023-12-26 16:47:31.842
LA CAMPAGNOLA;Puré De Tomate La Campagnola 520 Gr;455.0;;;875.0;1;kg;2023-12-26 16:47:31.842
CUISINE & CO NBE MP;Palmitos Entero 800 Gr Cuisine & Co;5189.0;;;10378.0;1;kg;2023-12-26 16:47:31.842
LAY´S;Papas Fritas Lays Clasicas X134g;1920.3;;;14771.54;1;kg;2023-12-26 16:47:31.842
TARAGUI;Yerba Mate Taragui 4flex 1kg;2487.43;;;2487.43;1;kg;2023-12-26 16:47:31.842
BIMBO;Pan Blanco Bimbo X 550g;2200.0;;;4000.0;1;kg;2023-12-26 16:47:31.842
PEPITOS;Galletitas Dulces Con Chips De Chocolate Pepitos 119g;381.55;587.0;-35%;4891.67;1;kg;2023-12-26 16:47:31.842
CUISINE & CO NBE MP;Vainillas Cuisine&co X36 U;1199.0;;$1.763,54;3971.94;1;kg;2023-12-26 16:47:31.842
