Brand;Description;Final_price;Original_price;Discount;Regular_price;Regular_price_measure;Regular_price_un;timestamp
PLAYADITO;Yerba Mate Playadito Suave X1kg;1979.87;3045.95;-35%;3045.95;1;kg;2023-12-23 11:56:06.003
OREO;Galletitas Dulces Rellenas Con Crema Oreo 354g;1061.45;1633.0;-35%;4612.99;1;kg;2023-12-23 11:56:06.003
NATURA;Aceite De Girasol Natura 1.5 L;2276.0;;;1517.33;1;lt;2023-12-23 11:56:06.003
PEPITOS;Galletitas Dulces Con Chips De Chocolate Pepitos 357g;999.7;1538.0;-35%;4394.29;1;kg;2023-12-23 11:56:06.003
LEDESMA;Azúcar Ledesma Molida Clasico 1 Kg;1295.0;;;1295.0;1;kg;2023-12-23 11:56:06.003
LA CAMPAGNOLA;Atun La Campagnola Al Natural X170g;1990.0;;;11705.88;1;kg;2023-12-23 11:56:06.003
MAÑANITA;Yerba Mate Mañanita 4flex 1kg;2579.85;;;2579.85;1;kg;2023-12-23 11:56:06.003
LA CAMPAGNOLA;Atun La Campagnola En Aceite X170g;1990.0;;;11705.88;1;kg;2023-12-23 11:56:06.003
ARTESANO;Pan Blanco Bimbo Artesano X 500g;2450.0;;;4900.0;1;kg;2023-12-23 11:56:06.003
NESCAFE;Nescafé® Dolca Suave X 170gr;2715.33;;Llevando 2: $1357.66 c/u;15972.53;1;kg;2023-12-23 11:56:06.003
;Caja Navideña Negra 1 U;7465.0;;$11.490;11490.0;1;un;2023-12-23 11:56:06.003
CUISINE & CO NBE MP;Duraznos En Mitades Cuisine & Co;843.7;1298.0;-35%;2676.29;1;kg;2023-12-23 11:56:06.003
CUISINE & CO NBE MP;Azucar Cuisine & Co 1kg;1228.75;;;1228.75;1;kg;2023-12-23 11:56:06.003
LA MERCED;Yerba Mate La Merced Campo O.c 500g;1982.3;;;3964.6;1;kg;2023-12-23 11:56:06.003
COCA COLA;Gaseosa Coca-cola Sabor Original 2,5 Lt;1787.63;2383.5;-25%;953.4;1;lt;2023-12-23 11:56:06.003
LEDESMA;Azúcar Ledesma Molida 1 Kg;1184.18;;;1184.18;1;kg;2023-12-23 11:56:06.003
CUISINE & CO NBE MP;Señor Pure De Tomate Cuisine & Co 520 Gr;609.4;;;1171.92;1;kg;2023-12-23 11:56:06.003
DORITOS;Doritos Sabor Queso X200g;3138.0;;Llevando 2: $2.039,7 c/u;15690.0;1;kg;2023-12-23 11:56:06.003
RUMBA;Galletitas Rumba 324g;1190.0;;;3718.75;1;kg;2023-12-23 11:56:06.003
TERRABUSI;Alfajor Terrabusi Chocolate Clásico 6ux50g;1774.0;;;5913.33;1;kg;2023-12-23 11:56:06.003
UNION;Yerba Mate Unión 4flex 1kg;2423.4;;;2423.4;1;kg;2023-12-23 11:56:06.003
CUISINE & CO NBE MP;Palmitos Trozos Cuisine & Co;2381.0;;;10822.73;1;kg;2023-12-23 11:56:06.003
OREO;Galletitas Dulces Rellenas Con Crema Oreo 118g;364.65;561.0;-35%;4754.24;1;kg;2023-12-23 11:56:06.003
NESQUIK;Nesquik® Original Polvo Chocolatado X 800gr;3597.72;;Llevando 2: $2.338,52 c/u;4497.15;1;kg;2023-12-23 11:56:06.003
DIVERSION;Galletitas Surtido Diversion X398g;907.0;;;2325.64;1;kg;2023-12-23 11:56:06.003
CHOCOLINAS;Galletitas Chocolinas X262g;770.0;;;2961.54;1;kg;2023-12-23 11:56:06.003
OPERA;Galletitas ópera Agrupadas 220 Gr;792.0;;;3600.0;1;kg;2023-12-23 11:56:06.003
Molinos Ala;Arroz Molinos Ala Parboil Gs X1kg;1746.0;;;1746.0;1;kg;2023-12-23 11:56:06.003
PUREZA;Aceite Girasol Pureza 1,5l;2209.0;;;1472.67;1;lt;2023-12-23 11:56:06.003
PLAYADITO;Yerba Mate Playadito Suave X500gr;1587.94;;;3175.88;1;kg;2023-12-23 11:56:06.003
NESTLE;Nestlé® Leche Condensada Descremada X 395gr;1216.67;;Llevando 2: $790,84 c/u;3379.64;1;kg;2023-12-23 11:56:06.003
NESCAFE;Nescafé® Dolca Suave X 200gr;2199.09;;Llevando 2: $1.429,41 c/u;10995.45;1;kg;2023-12-23 11:56:06.003
NUCETE;Aceite De Oliva Nucete Extra Virgen X2000ml;23686.88;;;11843.44;1;lt;2023-12-23 11:56:06.003
HELLMANN´S;Mayonesa Hellmann's Clasica Doypack 950 G;;;;1321.05;1;kg;2023-12-23 11:56:06.003
SURTIDO;Galletitas Surtido Bagley X398g;1050.0;;;2692.31;1;kg;2023-12-23 11:56:06.003
DORITOS;Doritos Queso 140g- X129g;1770.28;;Llevando 2: $1.150,68 c/u;13617.54;1;kg;2023-12-23 11:56:06.003
LAY´S;Papas Fritas Lays Clasicas X134g;1920.3;;Llevando 2: $1.248,19 c/u;14771.54;1;kg;2023-12-23 11:56:06.003
CUISINE & CO NBE MP;Arvejas Cuisine & Co 300gr;391.0;;;1907.32;1;kg;2023-12-23 11:56:06.003
LA MERCED;Yerba Mate La Merced Campo Sur O.c 500g;1982.3;;;3964.6;1;kg;2023-12-23 11:56:06.003
LAY´S;Papas Fritas Lays Clasicas X230g;3138.0;;Llevando 2: $2.039,7 c/u;13643.48;1;kg;2023-12-23 11:56:06.003
VANGUARDIA;Arroz Vanguardia Elaborado Largo Fino;1255.5;;;1255.5;1;kg;2023-12-23 11:56:06.003
LA CAMPAGNOLA;Puré De Tomate La Campagnola 520 Gr;455.0;;;875.0;1;kg;2023-12-23 11:56:06.003
BIMBO;Pan Blanco Bimbo X 550g;2200.0;;;4000.0;1;kg;2023-12-23 11:56:06.003
NESQUIK;Nesquik® Original Polvo Chocolatado X 360gr;1829.67;;Llevando 2: $1.189,29 c/u;5082.42;1;kg;2023-12-23 11:56:06.003
TARAGUI;Yerba Mate Taragui 4flex 1kg;2487.43;;;2487.43;1;kg;2023-12-23 11:56:06.003
CUISINE & CO NBE MP;Vainillas Cuisine&co X36 U;1199.0;;$1.763,54;3971.94;1;kg;2023-12-23 11:56:06.003
CUISINE & CO NBE MP;Palmitos Entero 800 Gr Cuisine & Co;5189.0;;;10378.0;1;kg;2023-12-23 11:56:06.003
OREO;Galletitas Oreo Mini X50g;181.35;279.0;-35%;558.0;100;gr;2023-12-23 11:56:06.003
PEPITOS;Galletitas Dulces Con Chips De Chocolate Pepitos 119g;381.55;587.0;-35%;4891.67;1;kg;2023-12-23 11:56:06.003
CEREALITAS;Galletitas Cracker Cereal Cerealitas Clásicas X3uni 636g;1425.0;;;2375.0;1;kg;2023-12-23 11:56:06.003
CBSE;Yerba Mate Cbsé Hierbas Serranas X1kg;2914.0;;Llevando 2: $2.185,5 c/u;2914.0;1;kg;2023-12-23 11:56:06.003
CUISINE & CO NBE MP;Fideos Spaguetti C&c;879.0;;;1758.0;1;kg;2023-12-23 11:56:06.003
